Altium Designer Pick and Place Locations
E:\eElements\1.Hardware\eElements-PRJ\Project Outputs for eElements\Pick Place for eElements.csv

========================================================================================================================
File Design Information:

Date:       07/04/24
Time:       15:59
Revision:   621ec17c17fd58f52d7234c6ede3d493357c1795
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"JP1","CON-24P","BottomLayer","FPC0.5-WT-24P-上接","629.921","551.181","180","2.54寸墨水屏24P连接器（上接点或上下接点24PIN的0.5mmFPC插座）"
"IC1","TP4056","BottomLayer","SOIC-8_EP","338.583","1244.094","180","锂电池充电管理"
"D1","1N5819WS","BottomLayer","SOD-323","1125.984","433.071","0","肖特基二极管"
"C9","1uF/50V","BottomLayer","C0402_M","393.701","279.409","90","贴片电容/MLCC电容"
"SW1","3x6x5","BottomLayer","SW_3*6*4.3-S-W","82.677","393.701","90","微动开关"
"SW2","3x6x5","BottomLayer","SW_SMD-3*6*2.5","1173.621","749.188","270","微动开关"
"SW3","3x6x5","BottomLayer","SW_SMD-3*6*2.5","1173.621","1221.629","270","微动开关"
"U3","CH340K","BottomLayer","SOP10_M","492.126","897.638","90","USB转串口芯片, 内置晶振"
"U2","RT9193-33GB","BottomLayer","SOT-23-5","944.882","787.402","180","LDO 3.3V/0.3A"
"R19","1M","BottomLayer","R0402_M","196.850","137.795","90","贴片电阻"
"R18","10K","BottomLayer","R0402_M","196.850","610.236","0","贴片电阻"
"R17","10K","BottomLayer","R0402_M","165.354","39.370","180","贴片电阻"
"R16","100K","BottomLayer","R0402_M","62.992","39.370","0","贴片电阻"
"R15","1M","BottomLayer","R0402_M","100.058","610.236","180","贴片电阻"
"R14","1M","BottomLayer","R0402_M","415.000","1430.000","90","贴片电阻"
"R13","1M","BottomLayer","R0402_M","415.000","1520.000","90","贴片电阻"
"R12","10K","BottomLayer","R0402_M","531.496","1377.953","180","贴片电阻"
"R11","5.1K","BottomLayer","R0402_M","354.331","929.134","270","贴片电阻"
"R10","5.1K","BottomLayer","R0402_M","354.331","842.520","90","贴片电阻"
"R9","10K","BottomLayer","R0402_M","125.984","1157.480","180","贴片电阻"
"R8","1K","BottomLayer","R0402_M","125.984","1251.968","180","贴片电阻"
"R7","1K","BottomLayer","R0402_M","125.984","1299.213","180","贴片电阻"
"R6","2.2R","BottomLayer","R0603_M","338.583","279.406","90","贴片电阻"
"R5","1M","BottomLayer","R0402_M","283.465","279.409","90","贴片电阻"
"R4","4.7K","BottomLayer","R0402_M","488.189","279.409","90","贴片电阻"
"R3","4.7K","BottomLayer","R0402_M","440.945","279.409","90","贴片电阻"
"R2","100K","BottomLayer","R0402_M","1196.850","1511.811","180","贴片电阻"
"R1","1K","BottomLayer","R0402_M","1075.000","505.000","0","贴片电阻"
"Q3","AO3400","BottomLayer","SOT23-3N","86.614","137.795","180","N沟道 30V/4.2A"
"Q2","AO3401","BottomLayer","SOT23-3N","700.787","1480.315","0","P沟道 30V/4.2A"
"Q1","AO3400","BottomLayer","SOT23-3N","1161.417","314.961","180","N沟道 30V/4.2A"
"LED3","GREEN","BottomLayer","LED0603_R","47.246","1200.003","270","贴片LED"
"LED2","RED","BottomLayer","LED0603_R","47.246","1325.003","270","贴片LED"
"LED1","GREEN","BottomLayer","LED0603_R","1185.003","504.998","180","贴片LED"
"L1","47uH/1A","BottomLayer","SWPA4030","1141.732","118.110","0","贴片小功率电感"
"JP3","HDR-1X4","BottomLayer","HDR1.27-LI-4P","1031.496","1511.811","180","4P连接器"
"JP2","HDR-1X2","BottomLayer","MX1.25-W-2P","39.370","1476.378","270","2P连接器"
"DE1","DEBUG PAD","BottomLayer","DEBUG_B","850.000","1515.000","180","调试断点焊盘"
"D7","1N5819WS","BottomLayer","SOD-323","196.850","283.465","90","肖特基二极管"
"D6","1N5819WS","BottomLayer","SOD-323","196.850","464.567","270","肖特基二极管"
"D5","1N5819WS","BottomLayer","SOD-323","531.496","1511.811","180","肖特基二极管"
"D4","1N5819WS","BottomLayer","SOD-323","531.496","1440.945","180","肖特基二极管"
"D3","1N5819WS","BottomLayer","SOD-323","925.197","314.961","180","肖特基二极管"
"D2","1N5819WS","BottomLayer","SOD-323","925.197","251.969","0","肖特基二极管"
"C27","100nF","BottomLayer","C0402_M","340.000","685.000","0","贴片电容/MLCC电容"
"C26","100nF","BottomLayer","C0402_M","570.866","1102.362","90","贴片电容/MLCC电容"
"C25","22nF","BottomLayer","C0402_M","992.126","688.976","180","贴片电容/MLCC电容"
"C24","1uF","BottomLayer","C0402_M","905.512","889.764","180","贴片电容/MLCC电容"
"C23","1uF","BottomLayer","C0402_M","992.126","889.764","0","贴片电容/MLCC电容"
"C22","100nF","BottomLayer","C0402_M","354.331","1015.748","270","贴片电容/MLCC电容"
"C21","100nF","BottomLayer","C0402_M","354.331","755.905","90","贴片电容/MLCC电容"
"C20","10uF","BottomLayer","C0402_M","125.984","1204.724","0","贴片电容/MLCC电容"
"C19","10uF","BottomLayer","C0402_M","125.984","1346.457","180","贴片电容/MLCC电容"
"C18","1uF/50V","BottomLayer","C0402_M","818.897","279.409","90","贴片电容/MLCC电容"
"C17","1uF/50V","BottomLayer","C0402_M","771.653","279.409","90","贴片电容/MLCC电容"
"C16","1uF/50V","BottomLayer","C0402_M","724.409","279.409","90","贴片电容/MLCC电容"
"C15","1uF/50V","BottomLayer","C0402_M","677.165","279.409","90","贴片电容/MLCC电容"
"C14","1uF/50V","BottomLayer","C0402_M","629.921","279.409","90","贴片电容/MLCC电容"
"C13","1uF/50V","BottomLayer","C0402_M","582.677","279.409","90","贴片电容/MLCC电容"
"C12","1uF/50V","BottomLayer","C0402_M","1047.244","275.591","270","贴片电容/MLCC电容"
"C11","1uF/50V","BottomLayer","C0402_M","535.433","279.409","90","贴片电容/MLCC电容"
